Authors,title,file,type
Mark Gahegan,Geocomputation: The application of impossibly sophisticated methods to fiendishly complex datasets by hopelessly optimistic researchers,Gahegan.pdf,Keynote Presentation
J. Arundel & S. Winter,Planning ahead in a harvesting variant of the travelling salesperson problem,Arundel_and_Winter.pdf,Papers
"Peter M. Atkinson, C. Jeganathan & J. Dash",Analysing the effect of different geocomputational techniques on estimating phenology in India,Atkinson_et_al.pdf,Papers
David A. Bennett & Wenwu Tang,GAIA-RM: A Geographically Aware Intelligent Agents Framework for Rangeland Management,Bennett_and_Tang.pdf,Papers
"S. Bertazzon, S. Olson, J. Norris & O. Elikan",Localized spatial regression modelling of health data,Bertazzon_et_al.pdf,Papers
Chris Brunsdon,Finding Fault: Identifying and Testing ‘Social Faultlines’ in Surface Fitting Techniques,Brunsdon.pdf,Papers
"Rizwan Bulbul, Farid Karimipour and Andrew U. Frank",A Simplex based Dimension Independent Approach for Convex Decomposition of Nonconvex polytopes,Bulbul_et_al.pdf,Papers
"Graeme Byrne, Martin Charlton & Stewart Fotheringham",Multiple dependent hypothesis tests in GWR,Byrne_et_al.pdf,Papers
"Adam Carrigan, Marji Puotinen & Rittick Borah",Tropical Cyclone Induced Cooling Zones:  A Geocomputational Hazard,Carrigan_et_al.pdf,Papers
Tao Cheng & Berk Anbaro?lu,Methods on defining spatio-temporal neighbourhoods,Cheng_and_Anboroglu.pdf,Papers
"Alexis J. Comber, Chris Brunsdon, Satoshi Sasaki & Hiroshi Suzuki","Using census area in site location selection in planning: ambulance locations in Niigata, Japan",Comber_et_al.pdf,Papers
"Conley, J.",An Evaluation of the Extended Power of Cluster Detection Methods Under Sampling Strategies,Conley.pdf,Papers
S. Coveney,Persistent Vegetation error in Aerial LiDAR DSMs: Impact on spatial models of inundation risk,Coveney.pdf,Papers
"M. Duckham, D. Nussbaum, J-R. Sack & N.Santoro",Designing decentralized spatial algorithms for geosensor networks,Duckham_et_al.pdf,Papers
"E. Eberhardt, S. Mitchell & L. Fahrig","Current and probable past wildlife fatality hotspots on the Thousand Islands Parkway, Ontario, Canada",Eberhardt_et_al.pdf,Papers
Carson Farmer,Data driven functional regions,Farmer.pdf,Papers
"A. Stewart Fotheringham, Mary Kelly, Martin Charlton & Magda Biesada",Spatial Variations in Population Dynamics: A GIScience and GWR Perspective using a Case Study of Ireland 1841-1851,Fotheringham_et_al.pdf,Papers
Lin-Jie Guan & Matt Duckham,Decentralized computing of topological relationships between heterogeneous regions,Guan_and_Duckham.pdf,Papers
"Z. Huang, S. Nichol, J. Daniell, J. Siwabessy & B. Brooke","Predictive Modelling of Seabed Sediment Parameters Using Multibeam Acoustic Data: A Case Study on the Carnarvon Shelf, Western Australia",Huang_et_al.pdf,Papers
Bin Jiang & Tao Jia,Studying spatial effects on human mobility patterns using agent-based simulations,Jiang_and_Jia.pdf,Papers
Aisan Kazerani & Stephan Winter,Modified Betweenness Centrality for Predicting Traffic Flow,Kazerani_and_Winter.pdf,Papers
B.F.J. Kelly & B.M.S. Giambastiani,Functional Programming Algorithms for Constructing 3D Geological Models,Kelly_and_Giambastiani.pdf,Papers
Yee Leung & Yu Zhou,Analysis of Scaling Behavior in Spatial Systems with Large Oscillations of Temporal Fluctuation,Leung.pdf,Papers
"Paul Lewis, Stewart Fotheringham & Adam Winstanley",Role of Spatial Video in GIS,Lewis_et_al.pdf,Papers
Jennifer A. Miller,"Spatial non-stationarity and the scale of species-environment relationships in the Mojave Desert, California, USA",Miller.pdf,Papers
"A. B. Moore, Y. Hammam & P. A. Whigham",A simple agricultural land use model implemented using Geographical Vector Agents (GVA),Moore_et_al.pdf,Papers
F. Morgan & D. O’Sullivan,"Residential developers: Competition, behaviour and the resulting urban landscape",Morgan_and_OSullivan.pdf,Papers
"T. Nakaya, A. S. Fotheringham, M. Charlton & C. Brunsdon",Semiparametric geographically weighted generalised linear modelling in GWR 4.0,Nakaya_et_al.pdf,Papers
"A. Nara, K. Izumi, H. Iseki, T. Suzuki, K. Nambu & Y. Sakurai",Trajectory Data Mining for Surgical Workflow Analysis,Nara_et_al.pdf,Papers
"Yoshifumi Nishida, Yoichi Motomura, Koji Kitamura & Tatsuhiro Yamanaka",Representation and Statistical Analysis of Childhood Injury by Bodygraphic Information System,Nishida_et_al.pdf,Papers
"O. Okwuashi J., McConchie, P. Nwilo & E. Eyo",Stochastic GIS cellular automata for land use change simulation: application of a kernel based model,Okwuashi_et_al.pdf,Papers
D. O’Sullivan & G.L.W. Perry,Simulating long distance dispersal processes in spatially heterogeneous landscapes,OSullivan_and_Perry.pdf,Papers
Marji Puotinen,Minimising Processing Time when Reconstructing Tropical Cyclone Wind Fields using GIS,Puotinen.pdf,Papers
"D. Rosauer, S. Ferrier, G. Manion, S.W. Laffan & K. Williams",Nice weather for frogs – using environmental data to model phylogenetic turnover,Rosauer_et_al.pdf,Papers
"Sohail Shafii, Bernd Hamann, Rachel Hutchinson, Oliver Kreylos & Joshua Viers",Tree Detection and Delineation of the Cosumnes River Preserve,Shafi_et_al.pdf,Papers
Mingzheng Shi & Stephan Winter,Building a multi-granularity sensor network using 2-dominating sets,Shi_and_Winter.pdf,Papers
Glen Stichbury & Lars Brabyn,Predicting Water Availability in the Antarctic Dry Valleys Using GIS and Remote Sensing,Stichbury_and_Brabyn.pdf,Papers
